,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
1403,500.0,470.0,2510.0,525.7900510934248,255.0,170.81060715307947,74.0,11.924242861231791,175.0,16.56525969343945,9.946320408747399,12.736795912526011
1404,460.0,470.0,2319.9600776778902,520.0,247.41517048240178,166.22155805393936,75.0,12.25968062142312,168.00399223221098,17.0011976696633,10.7003992232211,13.899201553557802
1405,460.0,470.0,2650.0,520.0,252.88192727785594,173.53406281830974,92.0,12.1,169.51861983587636,16.23851041312989,10.690372396717526,14.880744793435055
1406,459.51332094160114,470.0,2510.0,520.0,292.0216301803733,125.0,74.95673963925344,16.780532837664047,155.0,14.097836981962672,9.6,11.298918490981336
1407,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.30265887084255,11.151329435421275,14.371676411446812
1408,460.0,470.0,2410.0,520.0,201.0,84.0,92.0,9.6,135.19495922844868,14.167506795258552,8.967506795258553,11.041512231465395
1409,460.0,470.0,2760.0,520.0,348.0,220.0,90.0,11.298419763574511,187.00790118212743,17.339367905429807,10.759841976357452,13.758261739931964
1410,415.0,470.0,2510.0,520.0,343.13477205849733,217.0808632350984,71.0,10.275696250018482,189.18912867641623,16.997304558830052,10.548652279415027,13.11082654413178
1411,460.0,470.0,2510.0,520.0,336.08292412584944,235.77723216779924,75.0,9.6,185.0,18.2,11.1,13.7
1412,415.0,470.0,2510.0,520.0,188.0,174.66128503550124,71.0,10.9,175.0,17.6,10.9,13.5
1413,460.0,470.0,2755.1864495186,520.0,246.2576156258198,116.20338762034996,90.24067752407,10.526608467669469,150.0,13.652711400273493,9.380508143052493,9.597117914715486
1414,460.0,470.0,1880.1414749989592,520.0,188.5916392855656,128.29581964278282,53.0,10.089196178580845,169.29581964278282,11.981221857140875,7.995305464285218,9.014083607144343
1415,460.0,470.0,2760.0,520.0,336.4772816552625,213.08636899315752,90.0,10.7,190.0,17.1,10.7,13.1
1416,460.0,470.0,1689.6326806257339,520.0,173.48575287602742,119.77960837544032,53.0,11.322039162455969,162.7061445005871,11.503673193742662,8.092653612514678,9.203673193742661
1417,460.0,470.0,2810.0,520.0,257.8807291977828,177.95727026298331,88.08545947403334,12.6,174.78635131491663,15.881186500331681,10.047002710718342,12.259821631823343
1418,460.0,470.0,2760.0,520.0,317.30482278317584,203.17379430420604,90.0,10.508826265373362,192.60691456309053,16.28316677023164,10.09171993527888,13.239035443364827
1419,460.0,470.0,2350.0,520.0,233.0,141.0,75.0,12.17969212514805,165.0,16.1,10.4,14.5
1420,460.0,470.0,2760.0,520.0,318.0,203.0,90.0,11.366399738606924,188.14888961498076,17.988532984809233,10.848088830801538,13.507244284704232
1421,460.0,470.0,2610.8162011518275,520.0,275.3755754010496,212.2654189633551,74.75912850680417,11.473059218429244,177.05308379267103,16.51347039078538,10.073059218429243,12.862442459895039
1422,460.0,470.0,2504.817396333236,520.0,243.59827193311938,162.19654386623876,83.81042623349867,10.804349083309019,161.70783413317773,16.978087559988328,11.055478110002918,11.271480423291514
1423,460.0,470.0,2780.136296378483,520.0,340.1499260163312,187.69641475235295,90.0,12.29863703621517,178.95911108645512,16.519828135984525,9.811277031777092,12.307188140422603
1424,460.0,470.0,2072.5,520.0,78.473708464729,57.699621989676785,70.0,9.6,205.0,8.474968499139731,5.337484249569865,6.889987399655893
1425,460.0,470.0,2650.0,520.0,243.9035005192729,109.92980145396415,92.0,10.250583419878819,151.5058341987882,14.424560083083666,9.66432671513214,12.16286346142065
1426,500.0,484.5425622705582,2510.0,520.0,240.0,106.75603321096439,74.0,10.836595018355341,147.42376037842638,13.357623962157362,9.257623962157362,10.757623962157362
1427,460.0,470.0,2850.0,520.0,247.6322048869706,142.7579746852981,92.0,10.872034147828433,157.72034147828433,15.021152781915296,10.012339122783922,13.082610538786081
1428,460.0,470.0,3030.0,520.0,440.58960689035314,200.1832112096638,88.0,9.604397069031931,204.9816788790336,12.419420388224362,7.2146568967731035,8.418687543385706
1429,460.0,470.0,2530.0,520.0,434.0256580671419,187.94872296092407,69.0,11.225640474298352,184.17948918436963,11.574358548321454,8.102563851953796,9.423076622344556
1430,460.0,470.0,2760.0,520.0,334.0985775535314,211.65914653211885,90.0,10.7,190.0,17.1,10.7,13.1
1431,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.449174953174047,11.224587476587024,14.18853130853244
1432,460.0,470.0,2730.0851358363107,520.0,278.8893234127959,122.47871604092228,91.49574320818445,15.35861135151016,150.0,14.97053036859368,10.321807406138342,11.667976293504355
1433,460.0,470.0,2530.0,520.0,375.3708308959001,170.6973032046765,69.0,12.061648323742792,177.2789212818706,11.882567419883088,7.61394606409353,9.203486516023382
1434,500.0,470.0,2510.0,520.0,275.7968576491136,131.10858594210112,74.0,17.117340106313854,150.89492144122784,13.379685764911361,8.642382161841761,9.09492144122784
